,choice,Hidden Layer(# of neurons),Hidden Layer(# of layers),Hidden Layer(Activation Fn),Output Layer(Activation Fn),Optimizer,Learning Rate,epoch,loss,accuracy
0,1,"11,8,6",3,sigmoid,sigmoid,Adadelta,0.001,20,0.7241349762986931,0.4961734712123871
1,2,"11,8,6",3,sigmoid,sigmoid,Adadelta,0.01,20,0.7223219506594599,0.5038265585899353
2,3,"11,8,6",3,sigmoid,sigmoid,Adadelta,0.1,20,0.7301809829857137,0.5038265585899353
3,4,"11,8,6",3,sigmoid,sigmoid,Adagrad,0.001,20,0.7042380237317347,0.4961734712123871
4,5,"11,8,6",3,sigmoid,sigmoid,Adagrad,0.01,20,0.6926140270577495,0.6287283897399902
5,6,"11,8,6",3,sigmoid,sigmoid,Adagrad,0.1,20,0.6925556199329801,0.5038265585899353
6,7,"11,8,6",3,sigmoid,sigmoid,Adam,0.001,20,0.6720285571912769,0.6537480354309082
7,8,"11,8,6",3,sigmoid,sigmoid,Adam,0.01,20,0.6826406050140106,0.6335361003875732
8,9,"11,8,6",3,sigmoid,sigmoid,Adam,0.1,20,0.6917243930196837,0.6256868243217468
9,10,"11,8,6",3,sigmoid,sigmoid,Adamax,0.001,20,0.6916799739915498,0.5038265585899353
10,11,"11,8,6",3,sigmoid,sigmoid,Adamax,0.01,20,0.6911899478319489,0.5858516693115234
11,12,"11,8,6",3,sigmoid,sigmoid,Adamax,0.1,20,0.6921655618976013,0.5206043720245361
12,13,"11,8,6",3,sigmoid,sigmoid,Ftrl,0.001,20,0.6932757568883372,0.4961734712123871
13,14,"11,8,6",3,sigmoid,sigmoid,Ftrl,0.01,20,0.6931607901956447,0.4961734712123871
14,15,"11,8,6",3,sigmoid,sigmoid,Ftrl,0.1,20,0.6933083872967275,0.5038265585899353
15,16,"11,8,6",3,sigmoid,sigmoid,Nadam,0.001,20,0.6388524755765355,0.6572802066802979
16,17,"11,8,6",3,sigmoid,sigmoid,Nadam,0.01,20,0.6482030357259034,0.6578689217567444
17,18,"11,8,6",3,sigmoid,sigmoid,Nadam,0.1,20,0.6592086451581359,0.6346153616905212
18,19,"11,8,6",3,sigmoid,sigmoid,RMSprop,0.001,20,0.6613859617541686,0.6439363956451416
19,20,"11,8,6",3,sigmoid,sigmoid,RMSprop,0.01,20,0.6769985385367784,0.6377550959587097
20,21,"11,8,6",3,sigmoid,sigmoid,RMSprop,0.1,20,0.6686820586210518,0.643740177154541
21,22,"11,8,6",3,sigmoid,sigmoid,SGD,0.001,20,0.6926127290426282,0.5038265585899353
22,23,"11,8,6",3,sigmoid,sigmoid,SGD,0.01,20,0.6935899368073539,0.5038265585899353
23,24,"11,8,6",3,sigmoid,sigmoid,SGD,0.1,20,0.6928115525462751,0.5713304281234741
24,25,"11,8,6",3,sigmoid,tanh,Adadelta,0.001,20,1.3644706473058583,0.5038265585899353
25,26,"11,8,6",3,sigmoid,tanh,Adadelta,0.01,20,7.6534501933602375,0.5038265585899353
26,27,"11,8,6",3,sigmoid,tanh,Adadelta,0.1,20,0.7886295326089185,0.4961734712123871
27,28,"11,8,6",3,sigmoid,tanh,Adagrad,0.001,20,7.6534501933602375,0.5038265585899353
28,29,"11,8,6",3,sigmoid,tanh,Adagrad,0.01,20,0.7915195982721949,0.4961734712123871
29,30,"11,8,6",3,sigmoid,tanh,Adagrad,0.1,20,7.6534501933602375,0.5038265585899353
30,31,"11,8,6",3,sigmoid,tanh,Adam,0.001,20,0.6792521259661185,0.6391287446022034
31,32,"11,8,6",3,sigmoid,tanh,Adam,0.01,20,7.6534501933602375,0.5038265585899353
